Name,Type,Gender,Address,Town,County,Beds,Contact Name,Phone,Email
Dedham Recovery Home,Sober,Co-ed,45 Oak Street,Dedham,Norfolk,12,Tom Edwards,781-555-1111,dedhamrecoveryhome@gmail.com
Dedham Sober Living,Sober,Co-ed,45 Liberty Street,Dedham,Norfolk,12,Tom Edwards,781-555-1111,dedhamsoberliving@gmail.com
Dedham Women's Recovery,Sober,Female,55 Washington Street,Dedham,Norfolk,10,Sarah Adams,781-555-4445,dedhamwomensrecovery@gmail.com
Dismas Farm,LTRP,Male,687 Lincoln Road,Oakham,Worcester,,Colleen Hilferty,508-882-0000,
Dismas House,LTRP,Male,30 Richards Street,Worcester,Worcester,,Dave McMahon,508-799-9389,
Dorchester Healing House,Sober,Male,200 Columbia Road,Dorchester,Suffolk,15,Mark Gregory,617-555-7070,dorchesterhealing@gmail.com
East Boston Healing House,Sober,Male,88 Meridian Street,East Boston,Suffolk,15,Kevin Douglas,617-555-3333,eastbostonhealing@gmail.com
Easthampton Recovery,Sober,Male,10 Mount Tom Road,Easthampton,Hampshire,12,Alan Fitzgerald,413-555-8080,easthamptonrecovery@gmail.com
Entre Familia,LTRP,Co-Ed,209 River Street,Mattapan,Suffolk,,Magaly Olivares,617-534-3164,
Fall River Sober Homes,Sober,Male,35 South Main Street,Fall River,Bristol,20,Peter Donovan,508-555-9090,fallriversoberhomes@gmail.com
Falmouth Co-Ed Healing House,Sober,Co-ed,75 Shore Road,Falmouth,Barnstable,15,Brian Wallace,508-555-3030,falmouthcoedhealing@gmail.com
Falmouth Healing Home,Sober,Co-ed,75 Shoreline Drive,Falmouth,Barnstable,15,Brian Wallace,508-555-3030,falmouthhealing@gmail.com
Falmouth Recovery Home,Sober,Co-ed,75 Ocean View Road,Falmouth,Barnstable,15,Brian Wallace,508-555-3030,falmouthrecoveryhome@gmail.com
Falmouth Recovery House,Sober,Male,75 Shore Drive,Falmouth,Barnstable,11,Brian Walsh,508-555-1010,falmouthrecovery@gmail.com
Falmouth Sober Living,Sober,Co-ed,75 Cape Cod Road,Falmouth,Barnstable,15,Brian Wallace,508-555-3030,falmouthsoberliving@gmail.com
Fitchburg Sober Living,Sober,Male,88 John Fitch Highway,Fitchburg,Worcester,14,Chris O'Neill,978-555-1111,fitchburgsoberliving@gmail.com
Fitchburg Women's Sober Living,Sober,Female,99 Water Street,Fitchburg,Worcester,18,Kelly Benson,978-555-5556,fitchburgwomen@gmail.com
Framingham Sober Homes,Sober,Male,99 Concord Street,Framingham,Middlesex,10,Brian Carter,508-555-4444,framinghamsoberhomes@gmail.com
Franklin Recovery Home,Sober,Male,60 Main Street,Franklin,Norfolk,13,Steven Adams,508-555-1212,franklinrecovery@gmail.com
Gandara Addiction Recovery Program for Men (Spanish speaking),LTRP,Male,33 Arch Street,Springfield,Hampden,,Angelica Rodriguez Rosa,413-781-2234,
Gardner Sober House,Sober,Male,25 Park Avenue,Gardner,Worcester,12,Tom Reynolds,978-555-2323,gardnersoberhouse@gmail.com
Gavin House,LTRP,Male,675 4th Street,South Boston,Suffolk,,Arthur Davis,617-268-5517 EXT 13,
Gloucester Healing House,Sober,Co-ed,99 Harbor Street,Gloucester,Essex,14,Mark Peterson,978-555-8888,gloucesterhealing@gmail.com
Gloucester Recovery House,Sober,Male,30 Harbor Street,Gloucester,Essex,18,Peter Daniels,978-555-5555,gloucesterrecovery@gmail.com
Gloucester Recovery House,Sober,Co-ed,99 Harbor Road,Gloucester,Essex,14,Mark Peterson,978-555-8888,gloucesterrecovery@gmail.com
Gloucester Sober Living,Sober,Co-ed,99 Maple Road,Gloucester,Essex,14,Mark Peterson,978-555-8888,gloucestersoberliving@gmail.com
Greenfield Healing House,Sober,Male,77 High Street,Greenfield,Franklin,10,David Brennan,413-555-3434,greenfieldhealing@gmail.com
Greenfield Women's Recovery,Sober,Female,30 Maple Street,Greenfield,Franklin,12,Linda Stevens,413-555-6667,greenfieldwomensrecovery@gmail.com
Hairston House Gandara Men,LTRP,Male,25 Graves Avenue,Northampton,Hampshire,,Wayne Gates,413-585-8390,
Hamilton House,LTRP,Male,25 Mount Ida Road,Dorchester,Suffolk,,Dave Trescia,617-288-1584,
Hanton House,Dual-DX LTRP,Co-Ed,69 Clinton Street,Chelsea,Suffolk,,Emily Lopiccolo,617-784-3378,
Harmony House,LTRP,Male,74 Penniman Street,New Bedford,Bristol,,Tom Burns,508-992-8948,
Harmony House,LTRP,Male,234 Earle Street,New Bedford,Bristol,,Colleen Stanley,508-992-8948,
Haverhill Co-Ed Recovery,Sober,Co-ed,99 River Street,Haverhill,Essex,10,Lisa O'Connor,978-555-4040,haverhillcoedrecovery@gmail.com
Haverhill Healing House,Sober,Co-ed,99 River View Street,Haverhill,Essex,10,Lisa O'Connor,978-555-4040,haverhillhealinghouse@gmail.com
Haverhill Recovery Center,Sober,Co-ed,99 Central Street,Haverhill,Essex,10,Lisa O'Connor,978-555-4040,haverhillrecoverycenter@gmail.com
Haverhill Recovery Home,Sober,Male,101 River Street,Haverhill,Essex,16,Mark Sullivan,978-555-4545,haverhillrecovery@gmail.com
Haverhill Sober Living,Sober,Co-ed,99 Essex Street,Haverhill,Essex,10,Lisa O'Connor,978-555-4040,haverhillsoberliving@gmail.com
Hector Reyes House,LTRP Spanish only,Male,27 Vernon Street,Worcester,Worcester,,Frankie Alvarado,508-459-1805,
Holworthy Eco Sober House,Sober,Male,45-45R Holworthy St,Boston,Suffolk,22,Henrique Almeida,617-982-1790,management@ecosoberhouse.com
Holyoke Co-Ed Sober Living,Sober,Co-ed,120 High Street,Holyoke,Hampden,18,Kevin Adams,413-555-5050,holyokecoedsober@gmail.com
Holyoke Recovery Center,Sober,Co-ed,120 Maple Street,Holyoke,Hampden,18,Kevin Adams,413-555-5050,holyokerecovery@gmail.com
Holyoke Recovery Center,Sober,Co-ed,120 Summit Avenue,Holyoke,Hampden,18,Kevin Adams,413-555-5050,holyokerecoverycenter@gmail.com
Holyoke Sober Home,Sober,Co-ed,120 Canal Street,Holyoke,Hampden,18,Kevin Adams,413-555-5050,holyokesoberhome@gmail.com
Holyoke Sober Living,Sober,Male,200 Appleton Street,Holyoke,Hampden,15,Ryan Palmer,413-555-5656,holyokesoberliving@gmail.com
Holyoke Women's Healing House,Sober,Female,55 Appleton Street,Holyoke,Hampden,14,Megan Carter,413-555-2020,holyokewomenshealing@gmail.com
Hope House,LTRP,Male,8 Farnham Street,Boston,Suffolk,,Maria Anziani,781-819-2459,
Humphrey Home,Sober,Male,187 Humphrey St.,Marblehead,Essex,20,Connie Hurlburt,774-243-2204,intake@vanderburghhouse.com
Hurley House,LTRP,Male,12 Lowell Street,Waltham,Middlesex,,Mike Vellente,781-899-2540,
Hyannis Recovery Home,Sober,Male,50 Seaview Avenue,Hyannis,Barnstable,14,Peter Dawson,508-555-6767,hyannisrecovery@gmail.com
Interim House,LTRP,Male,62 Waldeck Street,Dorchester,Suffolk,,Angela Fonseca,617-265-2636,
Jeremiah's Inn,LTRP,Male,1059 Main Street,Worcester,Worcester,,Jeff Busby,508-755-6403,
John Flower House,LTRP,Male,55 Dimock Street,Roxbury,Suffolk,,CeCe,617-308-5195,
Keenan House for Men - Brien center,LTRP,Male,202 Bradford Street,Pittsfield,Berkshire,,Dave Vincent,413-499-2756,
Lawrence Sober House,Sober,Male,300 Broadway,Lawrence,Essex,17,Kevin Gallagher,978-555-7878,lawrencesoberhouse@gmail.com
Leominster Sober Living,Sober,Male,60 Central Street,Leominster,Worcester,12,Mark Stevenson,978-555-6666,leominstersoberliving@gmail.com
Link House,LTRP,Male,37 Washington Street,Newburyport,Essex,,Linda Corifo,978-462-7341,
Lowell Co-Ed Sober Home,Sober,Co-ed,88 Middlesex Street,Lowell,Middlesex,14,Jessica Martin,978-555-2222,lowellcoedsober@gmail.com
Lowell Healing Home,Sober,Male,75 Central Street,Lowell,Middlesex,18,Brian Carter,978-555-8989,lowellhealing@gmail.com
Lowell House,LTRP,Male,365 East Street,Tewksbury,Middlesex,,Frank,978-459-3371,
Lowell Women's Healing House,Sober,Female,75 Broadway,Lowell,Middlesex,17,Laura Daniels,978-555-7778,lowellwomenshealing@gmail.com
Lynn Co-Ed Healing House,Sober,Co-ed,150 Central Avenue,Lynn,Essex,13,Alex Patterson,781-555-0101,lynncoedhealing@gmail.com
Lynn Recovery House,Sober,Male,120 Essex Street,Lynn,Essex,12,Steve Martin,781-555-9090,lynnrecovery@gmail.com
Malden Sober Living,Sober,Male,40 Washington Street,Malden,Middlesex,11,Paul Everett,781-555-0101,maldensoberliving@gmail.com
Marlborough Co-Ed Recovery,Sober,Co-ed,99 East Main Street,Marlborough,Middlesex,10,Lisa Walker,508-555-4444,marlboroughcoed@gmail.com
Marlborough Healing Home,Sober,Co-ed,88 East Main Street,Marlborough,Middlesex,14,Lisa Donovan,508-555-2222,marlboroughhealing@gmail.com
Marlborough Recovery House,Sober,Male,65 Main Street,Marlborough,Middlesex,14,Tom Daniels,508-555-1212,marlboroughrecovery@gmail.com
Marlborough Recovery House,Sober,Co-ed,88 Elm Street,Marlborough,Middlesex,14,Lisa Donovan,508-555-2222,marlboroughrecoveryhouse@gmail.com
Marlborough Sober House,Sober,Co-ed,88 West Main Street,Marlborough,Middlesex,14,Lisa Donovan,508-555-2222,marlboroughsober@gmail.com
Matt's Place: Vanderburgh House,Sober,Male,24 Dartmouth Street,Springfield,Hampden,18,Jake Janas,413-579-8089,jjanas@vanderburghhouse.com
Medford Co-Ed Recovery Home,Sober,Co-ed,25 Salem Street,Medford,Middlesex,12,Peter Donovan,781-555-6060,medfordcoedrecovery@gmail.com
Medford Healing House,Sober,Co-ed,25 Mystic Street,Medford,Middlesex,12,Peter Donovan,781-555-6060,medfordhealinghouse@gmail.com
Medford Recovery House,Sober,Co-ed,25 Washington Street,Medford,Middlesex,12,Peter Donovan,781-555-6060,medfordrecoveryhouse@gmail.com
Medford Sober Living,Sober,Male,25 Mystic Avenue,Medford,Middlesex,13,Chris Nolan,781-555-2323,medfordsoberliving@gmail.com
Medford Sober Living,Sober,Co-ed,25 Main Street,Medford,Middlesex,12,Peter Donovan,781-555-6060,medfordsoberliving@gmail.com
Medway Healing House,Sober,Male,25 Main Street,Medway,Norfolk,17,Ryan Patterson,508-555-7777,medwayhealing@gmail.com
Methuen Healing House,Sober,Male,200 Broadway,Methuen,Essex,15,Kevin Andrews,978-555-3434,methuenhealing@gmail.com
Milford Recovery Home,Sober,Male,30 Purchase Street,Milford,Worcester,12,Brian Jenkins,508-555-4545,milfordrecovery@gmail.com
Natick Sober House,Sober,Male,99 Worcester Road,Natick,Middlesex,10,Peter Robinson,508-555-5656,naticksoberhouse@gmail.com
New Bedford Recovery,Sober,Male,150 Union Street,New Bedford,Bristol,18,David Simmons,508-555-6767,newbedfordrecovery@gmail.com
New Challenge,LTRP,Male,209 Summer Street,Lowell,Middlesex,,Angel Reyes,978-606-7607,
New Chapters,LTRP,Male,33 N 6th Street,New Bedford,Bristol,,Carolyn Garland,774-202-4820,
Newton Co-Ed Sober Living,Sober,Co-ed,120 Beacon Street,Newton,Middlessex,18,Kevin O'Donnell,617-555-5555,newtoncoedsober@gmail.com
Newton Healing House,Sober,Co-ed,55 West Street,Newton,Middlessex,11,Jessica O'Connor,617-555-9999,newtonhealinghouse@gmail.com
Newton Healing Recovery,Sober,Co-ed,55 Huntington Avenue,Newton,Middlessex,11,Jessica O'Connor,617-555-9999,newtonhealingrecovery@gmail.com
Newton Sober Homes,Sober,Male,175 Walnut Street,Newton,Middlessex,12,Mark Gallagher,617-555-7878,newtonsoberhomes@gmail.com
Newton Sober Living,Sober,Co-ed,55 Walnut Street,Newton,Middlessex,11,Jessica O'Connor,617-555-9999,newtonsoberliving@gmail.com
North Adams Healing Center,Sober,Co-ed,120 Park Avenue,North Adams,Berkshire,15,Peter Collins,413-555-3333,northadamshealing@gmail.com
North Adams Healing House,Sober,Co-ed,120 Summer Street,North Adams,Berkshire,15,Peter Collins,413-555-3333,northadamshealing@gmail.com
North Adams Recovery Center,Sober,Male,200 Ashland Street,North Adams,Berkshire,14,Kevin Harris,413-555-8888,northadamsrecovery@gmail.com
North Adams Sober House,Sober,Co-ed,120 Ashland Street,North Adams,Berkshire,15,Peter Collins,413-555-3333,northadamssober@gmail.com
North Shore Men's Home,Sober,Male,24 Chapman Street,Beverly,Essex,18,Connie Hurlburt,844-762-3747,Intake@VanderburghHouse.com
Northampton Healing House,Sober,Male,85 Pleasant Street,Northampton,Hampshire,17,Ryan Carter,413-555-8989,northamptonhealing@gmail.com
Northampton Women's House,Sober,Female,200 Elm Street,Northampton,Hampshire,14,Karen Patterson,413-555-8889,northamptonwomenshouse@gmail.com
Norwood Recovery House,Sober,Male,50 Central Street,Norwood,Norfolk,14,Kevin Martin,781-555-9090,norwoodrecovery@gmail.com
Opportunity House - Behavioral Health Network,LTRP,Male,64-82 Temple Street,Springfield,Hampden,,Melinda Marshall,413-272-1868,
Orange Recovery House - FCRHRA,LTRP,Male,35 Congress Street,Orange,Franklin,,Justin Coscone,978-544-6507,
Pathways,LTRP,Male,171 Graham Street,Gardner,Worcester,,Kevin Waterman,978-632-4574,
Peabody Sober Living,Sober,Male,210 Lowell Street,Peabody,Essex,11,Steve Everett,978-555-0101,peabodysoberliving@gmail.com
Peabody Women's Sober Living,Sober,Female,75 Foster Street,Peabody,Essex,15,Lisa Gallagher,978-555-3030,peabodywomenssober@gmail.com
Phoenix House Springfield Residential Program,LTRP,Male,5 Madison Avenue,Springfield,Hampden,,Rachel Oldham,413-733-2178x1409,
Pittsfield Co-Ed Recovery,Sober,Co-ed,55 Eagle Street,Pittsfield,Berkshire,12,Megan Foster,413-555-6666,pittsfieldcoedrecovery@gmail.com
Pittsfield Recovery House,Sober,Male,120 North Street,Pittsfield,Berkshire,13,Tom Benson,413-555-1212,pittsfieldrecovery@gmail.com
Place of Promise,LTRP,CO-ED,202 Ludlam Street,Lowell,Middlesex,,Beth Kidd,617-669-0983,
Plymouth Sober Homes,Sober,Male,55 Water Street,Plymouth,Plymouth,14,Chris Walker,508-555-2323,plymouthsoberhomes@gmail.com
Project Turn About,LTRP,Male,861 Main Street,Weymouth,Norfolk,,,781-331-9693,
Prospect Men's Home,Sober,Male,103 Prospect Street,Springfield,Hampden,16,Jake Janas,844-762-3747,Intake@VanderburghHouse.com
Quincy Co-Ed Healing House,Sober,Co-ed,75 Hancock Street,Quincy,Norfolk,15,Chris Nolan,617-555-3333,quincycoedhealing@gmail.com
Quincy Healing House,Sober,Male,99 Adams Street,Quincy,Norfolk,15,Kevin Nash,617-555-3434,quincyhealing@gmail.com
Randolph Recovery Home,Sober,Male,80 Union Street,Randolph,Norfolk,12,Brian Adams,781-555-4545,randolphrecovery@gmail.com
Revere Co-Ed Sober House,Sober,Co-ed,200 Revere Beach Parkway,Revere,Suffolk,17,Sarah Carter,781-555-7070,reverecoedsober@gmail.com
Revere Healing House,Sober,Co-ed,200 Ocean Avenue,Revere,Suffolk,17,Sarah Carter,781-555-7070,reverethealinghouse@gmail.com
Revere Recovery Home,Sober,Co-ed,200 Broadway,Revere,Suffolk,17,Sarah Carter,781-555-7070,revererecovery@gmail.com
Revere Recovery Home,Sober,Co-ed,200 Salem Street,Revere,Suffolk,17,Sarah Carter,781-555-7070,revererecoveryhome@gmail.com
Revere Sober House,Sober,Male,35 Broadway,Revere,Suffolk,10,Peter Jensen,781-555-5656,reveresoberhouse@gmail.com
Salem Co-Ed Healing House,Sober,Co-ed,55 Washington Square,Salem,Essex,14,Megan Stewart,978-555-8080,salemcoedhealing@gmail.com
Salem Healing Center,Sober,Co-ed,55 North Street,Salem,Essex,14,Megan Stewart,978-555-8080,salemhealingcenter@gmail.com
Salem Recovery Center,Sober,Male,25 Essex Street,Salem,Essex,18,David Thompson,978-555-6767,salemrecovery@gmail.com
Salem Recovery Home,Sober,Co-ed,55 Bridge Street,Salem,Essex,14,Megan Stewart,978-555-8080,salemrecoveryhome@gmail.com
Salem Sober House,Sober,Co-ed,55 Lafayette Street,Salem,Essex,14,Megan Stewart,978-555-8080,salemsoberhouse@gmail.com
Salem Women's Recovery Home,Sober,Female,99 North Street,Salem,Essex,10,Amanda Parker,978-555-4040,salemwomensrecovery@gmail.com
Salvation Army,LTRP,Co-Ed,72 Cambridge Street,Worcester,Worcester,,Anthony Haith,508-799-0528,
Salvation Army Springfield,LTRP,Male,327 Liberty Street,Springfield,Hampden,,Sheri Adams,413-785-1921x315,
Saugus Sober Living,Sober,Male,110 Lincoln Avenue,Saugus,Essex,12,Mark Perry,781-555-7878,saugussoberliving@gmail.com
Somerville Co-Ed Recovery,Sober,Co-ed,200 Highland Avenue,Somerville,Middlesex,12,Mark Davidson,617-555-1111,somervillecoedrecovery@gmail.com
Somerville Healing House,Sober,Male,45 Davis Square,Somerville,Middlesex,17,Ryan Foster,617-555-8989,somervillehealing@gmail.com
South Boston Sober House,Sober,Male,175 Dorchester Avenue,South Boston,Suffolk,11,Sarah Peterson,617-555-9999,southbostonsoberhouse@gmail.com
South Boston Women's House,Sober,Female,120 L Street,South Boston,Suffolk,18,Kimberly O'Connor,617-555-5050,southbostonwomenshouse@gmail.com
Southshore Recovery House,LTRP,Male,10 Dysart Street,Quincy,Norfolk,,John McKinnon,617-773-7023,
Spectrum Charles J Farris Recovery House,LTRP,Co-Ed,155 Oak Street,Westborough,Worcester,,Triage,508-898-1570,
Springfield Co-Ed Healing,Sober,Co-ed,150 Liberty Street,Springfield,Hampden,17,Peter Simmons,413-555-7777,springfieldcoed@gmail.com
Springfield Co-Ed Recovery Home,Sober,Co-ed,30 Bay Street,Springfield,Hampden,10,Kevin O'Neill,413-555-4444,springfieldcoedrecovery@gmail.com
Springfield Recovery Home,Sober,Male,75 Main Street,Springfield,Hampden,14,Kevin Stewart,413-555-9090,springfieldrecovery@gmail.com
Springfield Sober Living,Sober,Co-ed,30 Bridge Street,Springfield,Hampden,10,Kevin O'Neill,413-555-4444,springfieldsoberliving@gmail.com
